head_forward_x,head_forward_y,neck_angle,spine_tilt,shoulder_hip_distance,shoulder_forward_offset,hip_tilt,trunk_to_hip_angle,torso_lean_x,torso_lean_y,com_shift_x,label,timestamp
0.468,0.135,0.296,-0.787,1.000,0.700,1.431,1.847,0.700,-0.703,0.350,slouched,1758905750590
0.484,0.179,0.228,-0.746,1.000,0.741,1.966,2.331,0.741,-0.684,0.370,slouched,1758905751609
0.422,0.223,0.159,-0.603,1.000,0.832,1.813,2.063,0.832,-0.573,0.416,slouched,1758905752644
0.273,-0.243,0.827,-1.704,1.000,-0.127,0.663,2.066,-0.127,-0.947,-0.064,slouched,1758905892318
0.336,-0.037,0.715,-1.439,1.000,0.129,0.250,1.254,0.129,-0.967,0.064,slouched,1758905893788
0.305,0.101,0.312,-1.229,1.000,0.345,0.310,1.148,0.345,-0.968,0.172,slouched,1758905894787
0.377,0.134,0.017,-1.083,1.000,0.480,0.523,1.175,0.480,-0.905,0.240,slouched,1758905896159
0.267,0.147,0.278,-0.768,1.000,0.763,0.633,1.080,0.763,-0.738,0.382,slouched,1758905897201
0.175,0.090,0.058,-0.403,1.000,0.916,0.114,0.371,0.916,-0.390,0.458,slouched,1758905898377
0.201,0.221,0.164,-0.497,1.000,0.864,0.597,0.727,0.864,-0.468,0.432,slouched,1758905900294
0.233,-0.230,1.101,-1.688,1.000,-0.114,0.197,1.581,-0.114,-0.962,-0.057,slouched,1758905942149
0.304,-0.151,0.789,-1.659,1.000,-0.085,0.264,1.570,-0.085,-0.964,-0.042,slouched,1758905943315
0.338,-0.173,0.890,-1.488,1.000,0.083,0.499,1.636,0.083,-1.001,0.042,slouched,1758905944406
0.341,-0.036,0.723,-1.195,1.000,0.390,0.537,1.404,0.390,-0.988,0.195,slouched,1758905945646
0.326,0.106,0.133,-0.933,1.000,0.619,0.468,1.030,0.619,-0.835,0.310,slouched,1758905946667
0.366,0.089,0.095,-1.098,1.000,0.479,0.415,1.128,0.479,-0.936,0.240,slouched,1758905947700
0.276,-0.066,1.010,-1.308,1.000,0.267,0.391,1.379,0.267,-0.991,0.133,slouched,1758905948903
0.312,0.052,0.480,-0.910,1.000,0.623,0.375,0.968,0.623,-0.801,0.312,slouched,1758905950156
0.299,0.201,0.008,-0.845,1.000,0.653,0.423,0.843,0.653,-0.736,0.327,slouched,1758905951665
-0.406,-0.111,0.067,-1.557,1.000,0.013,-2.821,0.864,0.013,-0.983,0.007,slouched,1758906030165
-0.515,0.022,0.046,-1.601,1.000,-0.030,-2.851,0.716,-0.030,-0.984,-0.015,slouched,1758906031638
-0.505,-0.041,0.113,-2.024,1.000,-0.423,-2.869,0.470,-0.423,-0.870,-0.212,slouched,1758906032816
-0.552,-0.037,0.061,-2.251,1.000,-0.616,-2.901,0.347,-0.616,-0.762,-0.308,slouched,1758906033950
-0.514,0.063,0.038,-2.283,1.000,-0.658,-1.686,0.903,-0.658,-0.763,-0.329,slouched,1758906034940
-0.485,0.147,0.132,-2.299,1.000,-0.661,-2.799,0.128,-0.661,-0.741,-0.330,slouched,1758906036083
-0.465,-0.192,0.266,-2.023,1.000,-0.433,-2.969,0.653,-0.433,-0.890,-0.216,slouched,1758906037119
-0.293,-0.343,0.601,-1.692,1.000,-0.117,-2.815,0.887,-0.117,-0.962,-0.059,slouched,1758906040582
-0.329,-0.170,0.223,-1.911,1.000,-0.329,-2.458,0.336,-0.329,-0.929,-0.165,slouched,1758906041536
-0.392,-0.117,0.525,-2.082,1.000,-0.475,-2.949,0.578,-0.475,-0.847,-0.238,slouched,1758906042637
-0.442,-0.068,0.424,-2.193,1.000,-0.546,-2.921,0.427,-0.546,-0.762,-0.273,slouched,1758906043525
-0.563,-0.009,0.098,-2.232,1.000,-0.615,-2.982,0.396,-0.615,-0.790,-0.307,slouched,1758906044578
-0.448,0.105,0.039,-2.369,1.000,-0.720,-2.841,0.162,-0.720,-0.701,-0.360,slouched,1758906045607
-0.027,-0.467,1.438,-1.575,1.000,-0.004,-3.127,1.364,-0.004,-0.981,-0.002,neutral,1758906210602
-0.017,-0.499,1.422,-1.601,1.000,-0.030,-3.141,1.365,-0.030,-0.999,-0.015,neutral,1758906213549
0.025,-0.496,1.418,-1.630,1.000,-0.060,3.087,1.420,-0.060,-1.006,-0.030,neutral,1758906215652
0.045,-0.508,1.233,-1.647,1.000,-0.079,2.994,1.546,-0.079,-1.030,-0.039,neutral,1758906219985
0.092,-0.520,1.057,-1.660,1.000,-0.094,2.959,1.601,-0.094,-1.054,-0.047,neutral,1758906222593
0.257,-0.494,0.880,-1.643,1.000,-0.074,2.999,1.708,-0.074,-1.017,-0.037,neutral,1758906226295
0.314,-0.504,0.626,-1.637,1.000,-0.068,2.854,1.917,-0.068,-1.031,-0.034,neutral,1758906229350
0.283,-0.431,0.417,-1.673,1.000,-0.103,2.827,1.936,-0.103,-1.008,-0.051,neutral,1758906231668
0.279,-0.352,0.049,-1.667,1.000,-0.097,2.253,2.578,-0.097,-1.005,-0.049,neutral,1758906234350
0.267,-0.337,0.030,-1.676,1.000,-0.107,2.338,2.474,-0.107,-1.011,-0.053,neutral,1758906243528
-0.032,-0.498,1.439,-1.549,1.000,0.021,-3.116,1.363,0.021,-0.975,0.011,neutral,1758906257230
-0.076,-0.491,1.418,-1.521,1.000,0.048,-3.080,1.323,0.048,-0.976,0.024,neutral,1758906260571
-0.075,-0.497,1.390,-1.548,1.000,0.023,-3.087,1.306,0.023,-0.980,0.011,neutral,1758906263629
-0.169,-0.476,1.307,-1.587,1.000,-0.016,-3.067,1.203,-0.016,-0.982,-0.008,neutral,1758906266945
-0.266,-0.471,1.135,-1.578,1.000,-0.007,-3.029,1.119,-0.007,-0.971,-0.004,neutral,1758906269504
-0.190,-0.476,1.130,-1.578,1.000,-0.007,-3.000,1.147,-0.007,-0.960,-0.003,neutral,1758906271995
-0.299,-0.456,0.895,-1.545,1.000,0.025,-2.973,1.076,0.025,-0.953,0.012,neutral,1758906274444
-0.276,-0.458,0.827,-1.547,1.000,0.023,-2.964,1.104,0.023,-0.965,0.011,neutral,1758906278538
-0.280,-0.409,0.632,-1.529,1.000,0.040,-2.936,1.108,0.040,-0.955,0.020,neutral,1758906282538
-0.306,-0.395,0.597,-1.464,1.000,0.101,-2.887,1.080,0.101,-0.947,0.051,neutral,1758906289425
-0.293,-0.388,0.301,-1.433,1.000,0.135,-2.813,1.072,0.135,-0.974,0.068,neutral,1758906296745
